,LINK_ID,HOUR,SPEED
880,4130023500,15,26.8
881,4130023500,16,26.5
882,4130023500,17,24.1
883,4130023500,18,23.0
884,4130023500,19,25.1
885,4130023500,20,24.6
886,4130023500,21,25.1
887,4130023500,22,25.1
888,4130023500,23,24.9
889,4130023600,0,36.0
890,4130023600,1,36.0
891,4130023600,2,36.0
892,4130023600,3,36.2
893,4130023600,4,36.4
894,4130023600,5,36.2
895,4130023600,6,31.8
896,4130023600,7,29.3
897,4130023600,8,28.6
898,4130023600,9,25.8
899,4130023600,10,24.3
900,4130023600,11,24.2
901,4130023600,12,23.4
902,4130023600,13,24.0
903,4130023600,14,27.5
904,4130023600,15,29.4
905,4130023600,16,28.0
906,4130023600,17,27.9
907,4130023600,18,28.0
908,4130023600,19,27.9
909,4130023600,20,28.8
910,4130023600,21,29.4
911,4130023600,22,30.0
912,4130023600,23,30.2
913,4130023700,4,14.0
914,4130023700,8,11.0
915,4130023700,10,32.0
916,4130023700,15,28.0
917,4130023700,17,17.5
918,4130024000,0,37.0
919,4130024000,1,37.0
920,4130024000,2,37.0
921,4130024000,3,37.0
922,4130024000,4,37.0
923,4130024000,5,37.0
924,4130024000,6,31.75
925,4130024000,7,29.25
926,4130024000,8,29.25
927,4130024000,9,28.75
928,4130024000,10,28.25
929,4130024000,11,28.375
930,4130024000,12,27.625
931,4130024000,13,28.857142857142858
932,4130024000,14,26.375
933,4130024000,15,24.625
934,4130024000,16,23.25
935,4130024000,17,24.0
936,4130024000,18,22.125
937,4130024000,19,21.375
938,4130024000,20,21.375
939,4130024000,21,21.375
940,4130024000,22,21.375
941,4130024000,23,21.375
942,4130024100,0,40.4
943,4130024100,1,40.4
944,4130024100,2,40.4
945,4130024100,3,40.0
946,4130024100,4,39.7
947,4130024100,5,40.0
948,4130024100,6,31.8
949,4130024100,7,28.2
950,4130024100,8,29.1
951,4130024100,9,29.1
952,4130024100,10,27.4
953,4130024100,11,25.9
954,4130024100,12,24.2
955,4130024100,13,24.11111111111111
956,4130024100,14,24.7
957,4130024100,15,26.1
958,4130024100,16,25.4
959,4130024100,17,25.7
960,4130024100,18,25.6
961,4130024100,19,26.6
962,4130024100,20,27.5
963,4130024100,21,28.0
964,4130024100,22,28.8
965,4130024100,23,29.2
966,4130024300,6,24.0
967,4130024300,7,23.0
968,4130024300,8,30.75
969,4130024300,10,39.0
970,4130024300,11,35.0
971,4130024300,12,41.0
972,4130024300,13,35.0
973,4130024400,10,37.0
974,4130024400,11,20.0
975,4130024400,12,28.0
976,4130024400,14,24.0
977,4130024400,15,18.0
978,4130024400,16,29.0
979,4130024400,17,25.75
980,4130024400,18,18.0
981,4130024400,19,30.0
982,4130024700,9,4.0
